"Location","Name"
"802a4be4","__CTOR_LIST__"
"802a4c08","__DTOR_LIST__"
"802a6024","g_key_tab"
"803924a8","ga_lang_overlay"
"80392c24","g_key_maps"
"803a39ec","_ctype_"
"803c6e40","tve_table_total"
"803c7040","g_sd_tve_adjust_table"
"803c7100","tve_sd_adjust_table_adv"
"803c7240","pan_config"
"803c7250","pin_mux_array"
"803c72e8","gpio_array"
"803c7314","i2c_config"
"803c8af0","dummy_boot_code"
"803c8cb0","sdio_hdd_ops"
"803c8cc8","s_file_ops"
"803c8cf0","s_directory_ops"
"803cace0","libcore_banner"
"803cb684","g_run_snd_dpnet_dll"
"803cb6a8","g_run_snd_c2fkec_pgt"
"803cb6cc","g_run_snd_help_lis"
"803cb6f0","g_run_snd_oldversion_kbe"
"803cb714","g_run_snd_nyquest_gdb"
"803cb738","g_run_snd_swapfile_sys"
"803cb75c","g_run_snd_pagefile_sys"
"803cb7b0","ga_section_game_count"
"803cb840","gaps_filename_ui_labels"
"803cb858","gaaps_filename_game_lists"
"803cb8f4","gaps_filename_list_bg"
"803cb930","gaps_filename_language"
"803cb948","gaps_filename_section_names"
"803cb960","gaps_filename_main_bg"
"803cb988","gaps_filename_lang_overlays"
"803cb9c8","ga_filetype"
"803cc208","gaps_region_names"
"803cc214","g_joy_libretro"
"803dba88","sys_tv_mode_pre"
"803dbb90","__morecore"
"803dbb94","RAMSIZE"
"803dbb98","dsh_task_id"
"803dbb9a","switch_display_mode"
"803dbbc8","unpro_addr_low"
"803dbbdc","sflash_default_read"
"803dbcc0","dummy_boot_jump"
"803dbcc4","sector_size"
"803dbcc8","nr_fats"
"803dbccc","dev"
"803dbcd8","g_next_volume_id"
"803dbce0","io_status_reg"
"803dbce4","int_status_reg"
"803dbce8","pok_msk_bit"
"803dbcec","palert_msk_bit"
"803dbee4","pd_cnt"
"803dbee8","g_run_osd_color_mode"
"803dbef0","m_joy_channels"
"803dbef4","m_joy_addr_p2"
"803dbefc","m_joy_addr_p1"
"803dbf1c","g_sound_len"
"803dbf20","g_emu_ticks_per_frame"
"803dbf2c","g_run_samplerate"
"803dbf30","g_emu_frame_rate"
"803dbf34","g_system_clock"
"803dbfcc","rate"
"803dbfd0","clk"
"803dc040","pre_ntsc"
"803dc080","sys_state"
"803dc090","sys_tv_mode_pre_bprogressive"
"803dc0c8","g_decv_dev"
"803dc0e8","g_ge_dev"
"803dc0ec","g_osd_dev"
"803dc0f0","g_osd_dev2"
"803dc0f4","g_sto_dev"
"803dc0f8","g_vpo_dev"
"803dc104","g_pan_dev"
"803dc114","m_boot_vpo_active"
"803dc1c0","errno"
"803dc2e4","hld_device_base"
"803dc2e8","__malloc_initialized"
"803dc2f0","_heapsize"
"803dc2f4","libc_printf_uart_id"
"803dc31c","g_osddrv_3x_count"
"803dc320","m_osddrv_ge_dev"
"803dc354","m_enable_soft_protection"
"803dc360","sflash_devtp"
"803dc364","aai_copy_enable"
"803dc366","sflash_default_mode"
"803dc368","sflash_reg_addr1"
"803dc36c","sflash_reg_addr2"
"803dc370","sflash_reg_ins"
"803dc374","sflash_reg_fmt"
"803dc378","sflash_reg_dum"
"803dc37c","sflash_reg_cfg"
"803dc3bc","mp_fs_callback"
"803dc44c","randseed"
"803dc458","time_base"
"803dc4f8","reserved_sectors"
"803dc4fc","size_fat"
"803dc500","sectors_per_cluster"
"803dc504","root_dir_entries"
"803dc510","blocks"
"803dc518","fat_size_16"
"803dc51c","fat_size_32"
"803dc520","prohibit_relative_path"
"803dc54c","support_pdd"
"803dc780","g_i_intr_count"
"803dc93c","g_tcb_table"
"803dc940","task_total_num"
"803dc948","g_task_id_idle"
"803dc950","rev_id"
"803dc954","old_tsc"
"803dcdb8","g_run_snd_task_flags"
"803dcdbc","g_menu_section"
"803dcdc0","g_menu_delay_tick_count"
"803dcdc4","g_menu_delay_tick_residue"
"803dcdc8","UniqueID"
"803dcdd0","FlashSize"
"803dcdd4","ROM_CRC32"
"803dcde0","g_run_osd_dev"
"803dce00","g_joy_rf1_wired2"
"803dce04","g_libretro_rotation"
"803dce08","g_emu_ticks_prev"
"803dce10","g_run_region"
"803dce14","gf_emu_fps_show"
"803dce18","g_preview_size"
"803dce6c","XBuf"
"803dced9","PAL"
"803dcf18","fhinc"
"803dcf98","GENIEROM"
"803dd020","fceu_video_out"
"803dda60","log_cb"
"803dda78","environ_cb"
"803ddac4","failed_init"
"803ddcac","ap_ctrl_msg_count"
"803ddcb8","control_mbf_id"
"803ddcbc","bkey_task_get_key"
"803ddd28","_bytes_used"
"803ddd2c","__malloc_hook"
"803ddd38","_heapindex"
"803ddd40","_heapinfo"
"803ddd44","_aligned_blocks"
"803ddd4c","_heapbase"
"803ddd50","__free_hook"
"803ddd54","_chunks_used"
"803ddd64","dummy"
"803dddbc","g_vnode_lock"
"803dddc0","g_vnode_covered_lock"
"803dddc2","g_mount_lock"
"803dddc4","__isthreaded"
"803dddc8","__sdidinit"
"803dde68","palert_gpio"
"803dde6c","pdd_chip_version"
"803dde70","pok_gpio"
"803ddf4c","g_p_tsk_sch"
"803ddf50","g_p_tsk_run"
"803ddf54","heap_ptr"
"803ddf58","heap_start"
"803ddf5c","irq_msk"
"803ddf60","g_current_second"
"803ddf64","g_timer_queue"
"803ddf6c","g_cur_timer"
"803ddf70","g_c_cur_slice"
"803ddf74","g_current_time"
"803ddf78","g_sys_cpu_clock"
"803ddf7c","g_sys_cpu_tick"
"803de0fc","g_run_height"
"803de100","g_run_width"
"803de120","g_run_menu_joy_state"
"803de128","g_preview_x"
"803de130","gp_font_buf"
"803de134","gp_unwqw"
"803de138","g_archive_stored2"
"803de13c","g_run_file_size"
"803de148","gp_buf_2m"
"803de14c","g_preview_width"
"803de150","g_archive_stored1"
"803de164","g_preview_y"
"803de16c","g_menu_section_language"
"803de180","g_menu_section_user"
"803de188","g_unwqw_idx"
"803de18c","g_list_indicator_height"
"803de190","gp_run_language"
"803de1a0","g_list_indicator_width"
"803de1b0","g_menu_section_count"
"803de1b4","g_archive1"
"803de1b8","g_archive_language"
"803de1bc","g_general_text_color"
"803de1c0","g_menu_section_favs"
"803de1cc","gp_run_vscr"
"803de1d0","g_menu_section_history"
"803de1d4","g_run_language"
"803de1d8","g_preview_height"
"803de1dc","g_menu_section_search"
"803de1e0","g_archive2"
"803de1e4","gp_favs_or_history"
"803de1ec","gp_run_file"
"803de1f4","g_snd_init_counter"
"803de1fc","g_run_language_count"
"803de20c","g_joy_state_captured"
"803de214","m_joy_wired_state"
"803de218","m_joy_rf_timeout"
"803de21c","g_joy_state"
"803de224","m_joy_rf_channel"
"803de228","m_joy_rf_state"
"803de230","gfn_state_load"
"803de234","m_emu_ticks_residue"
"803de238","g_emu_frames"
"803de23c","gfn_retro_serialize"
"803de240","g_run_game_size"
"803de244","rom_mem_buffer_size"
"803de250","gfn_retro_serialize_size"
"803de254","m_emu_frameskip"
